PO_ID,Supplier_ID,Product_Category,HS_Code,PO_Date,Quantity,Unit_Cost_USD,Incoterm,Freight_Mode,Promised_Delivery_Date,Actual_Delivery_Date,Customs_Clearance_Days,Defect_Flag,PO_Status
PO-1319,SUP-001,PDU / MEP Equipment,8537.10,2025-01-06,8,2982.5,DDP,Truck,2025-01-22,2025-01-22,1,N,Delivered
PO-1013,SUP-001,GPU Servers,8471.50,2025-01-06,2,21585.41,DDP,Air,2025-01-17,2025-01-16,0,N,Delivered
PO-1012,SUP-002,GPU Servers,8471.50,2025-01-09,25,17318.17,FOB,Ocean,2025-02-01,2025-02-10,2,N,Delivered
PO-1002,SUP-002,GPU Servers,8471.50,2025-01-12,16,16525.27,FOB,Truck,2025-01-29,2025-01-27,3,N,Delivered
PO-1125,SUP-002,Network Switches,8517.62,2025-01-13,5,3716.54,CIF,Ocean,2025-02-04,2025-02-02,1,N,Delivered
PO-1229,SUP-001,GPU Servers,8471.50,2025-01-15,12,23435.22,DDP,Air,2025-01-28,2025-01-27,0,N,Delivered
PO-1230,SUP-001,PDU / MEP Equipment,8537.10,2025-01-18,10,3972.18,DDP,Truck,2025-01-26,2025-01-26,1,N,Delivered
PO-1088,SUP-001,PDU / MEP Equipment,8537.10,2025-01-21,5,2844.16,DDP,Air,2025-02-02,2025-02-01,1,N,Delivered
PO-1154,SUP-003,Network Switches,8517.62,2025-01-22,12,1921.59,CIF,Ocean,2025-03-08,2025-03-06,12,N,Delivered
PO-1287,SUP-003,PDU / MEP Equipment,8537.10,2025-01-23,10,2468.63,EXW,Air,2025-02-16,2025-02-14,11,N,Delivered
PO-1314,SUP-002,Network Switches,8517.62,2025-01-25,20,3806.87,CIF,Ocean,2025-02-09,2025-02-21,3,N,Delivered
PO-1128,SUP-001,PDU / MEP Equipment,8537.10,2025-01-27,40,3716.76,DDP,Truck,2025-02-09,2025-02-15,1,N,Delivered
