PO_ID,Supplier_ID,Product_Category,HS_Code,PO_Date,Quantity,Unit_Cost_USD,Incoterm,Freight_Mode,Promised_Delivery_Date,Actual_Delivery_Date,Customs_Clearance_Days,Defect_Flag,PO_Status,Is_First_Occurrence,Lead_Time_Days,On_Time_Flag,Country,Region,Base_Effective_Rate,Base_Spend_USD,Landed_Cost_Per_Unit,Landed_Spend_USD,Tariff_Dollars,PO_Year_Month
PO-1319,SUP-001,PDU / MEP Equipment,8537.1,2025-01-06,8,2982.5,DDP,Truck,2025-01-22,2025-01-22,1,N,Delivered,1,16,1.0,United States,Domestic,0.0,23860.0,2982.5,23860.0,0.0,2025-01
PO-1013,SUP-001,GPU Servers,8471.5,2025-01-06,2,21585.41,DDP,Air,2025-01-17,2025-01-16,0,N,Delivered,1,10,1.0,United States,Domestic,0.0,43170.82,21585.41,43170.82,0.0,2025-01
PO-1012,SUP-002,GPU Servers,8471.5,2025-01-09,25,17318.17,FOB,Ocean,2025-02-01,2025-02-10,2,N,Delivered,1,32,0.0,Mexico,Nearshore,0.0,432954.24999999994,17318.17,432954.24999999994,0.0,2025-01
PO-1002,SUP-002,GPU Servers,8471.5,2025-01-12,16,16525.27,FOB,Truck,2025-01-29,2025-01-27,3,N,Delivered,1,15,1.0,Mexico,Nearshore,0.0,264404.32,16525.27,264404.32,0.0,2025-01
PO-1125,SUP-002,Network Switches,8517.62,2025-01-13,5,3716.54,CIF,Ocean,2025-02-04,2025-02-02,1,N,Delivered,1,20,1.0,Mexico,Nearshore,0.0,18582.7,3716.54,18582.7,0.0,2025-01
PO-1229,SUP-001,GPU Servers,8471.5,2025-01-15,12,23435.22,DDP,Air,2025-01-28,2025-01-27,0,N,Delivered,1,12,1.0,United States,Domestic,0.0,281222.64,23435.22,281222.64,0.0,2025-01
PO-1230,SUP-001,PDU / MEP Equipment,8537.1,2025-01-18,10,3972.18,DDP,Truck,2025-01-26,2025-01-26,1,N,Delivered,1,8,1.0,United States,Domestic,0.0,39721.799999999996,3972.18,39721.799999999996,0.0,2025-01
PO-1088,SUP-001,PDU / MEP Equipment,8537.1,2025-01-21,5,2844.16,DDP,Air,2025-02-02,2025-02-01,1,N,Delivered,1,11,1.0,United States,Domestic,0.0,14220.8,2844.16,14220.8,0.0,2025-01
PO-1154,SUP-003,Network Switches,8517.62,2025-01-22,12,1921.59,CIF,Ocean,2025-03-08,2025-03-06,12,N,Delivered,1,43,1.0,China,Offshore,0.35,23059.079999999998,2594.1465000000003,31129.758,8070.6780000000035,2025-01
PO-1287,SUP-003,PDU / MEP Equipment,8537.1,2025-01-23,10,2468.63,EXW,Air,2025-02-16,2025-02-14,11,N,Delivered,1,22,1.0,China,Offshore,0.35,24686.300000000003,3332.6505,33326.505000000005,8640.205000000002,2025-01
PO-1314,SUP-002,Network Switches,8517.62,2025-01-25,20,3806.87,CIF,Ocean,2025-02-09,2025-02-21,3,N,Delivered,1,27,0.0,Mexico,Nearshore,0.0,76137.4,3806.87,76137.4,0.0,2025-01
PO-1128,SUP-001,PDU / MEP Equipment,8537.1,2025-01-27,40,3716.76,DDP,Truck,2025-02-09,2025-02-15,1,N,Delivered,1,19,0.0,United States,Domestic,0.0,148670.40000000002,3716.76,148670.40000000002,0.0,2025-01
PO-1107,SUP-003,GPU Servers,8471.5,2025-01-27,8,15164.08,CIF,Ocean,2025-03-15,2025-03-14,4,N,Delivered,1,46,1.0,China,Offshore,0.35,121312.64,20471.508,163772.064,42459.42400000001,2025-01
PO-1095,SUP-001,PDU / MEP Equipment,8537.1,2025-01-28,10,2505.54,FOB,Air,2025-02-06,2025-02-19,1,Y,Delivered,1,22,0.0,United States,Domestic,0.0,25055.4,2505.54,25055.4,0.0,2025-01
PO-1180,SUP-003,Network Switches,8517.62,2025-01-29,25,2458.03,EXW,Ocean,2025-03-03,2025-03-02,12,N,Delivered,1,32,1.0,China,Offshore,0.35,61450.75000000001,3318.3405000000007,82958.51250000001,21507.762500000004,2025-01
